type_id,category,denomination,year,example_description,recommended_search,example_lot_url,obverse_file,reverse_file,credit,status
TYPE_015,Federal Reserve Note,$1 ,1918,$1 Federal Reserve Bamk Note large size PCGS 65PPQ,Heritage Auctions $1 Federal Reserve Bamk Note large size PCGS 65PPQ,Search Heritage for best professional photo lot,TYPE_015_obverse.jpg,TYPE_015_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_016,Federal Reserve Note,$1 ,1939A,$1 federal reserve star Note,Heritage Auctions $1 federal reserve star Note,Search Heritage for best professional photo lot,TYPE_016_obverse.jpg,TYPE_016_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_017,Federal Reserve Note,$1 ,1959D,$1 Federal Reserve Note,Heritage Auctions $1 Federal Reserve Note,Search Heritage for best professional photo lot,TYPE_017_obverse.jpg,TYPE_017_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_018,Federal Reserve Note,$1 ,1963,$1 Federal Reserve Note,Heritage Auctions $1 Federal Reserve Note,Search Heritage for best professional photo lot,TYPE_018_obverse.jpg,TYPE_018_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_019,Federal Reserve Note,$1 ,1963A,$1 Federal Reserve Star Note,Heritage Auctions $1 Federal Reserve Star Note,Search Heritage for best professional photo lot,TYPE_019_obverse.jpg,TYPE_019_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_020,Federal Reserve Note,$1 ,1963B,$1 Federal Reserve Note,Heritage Auctions $1 Federal Reserve Note,Search Heritage for best professional photo lot,TYPE_020_obverse.jpg,TYPE_020_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_021,Federal Reserve Note,$1 ,1969,$1 federal reserve note,Heritage Auctions $1 federal reserve note,Search Heritage for best professional photo lot,TYPE_021_obverse.jpg,TYPE_021_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_022,Federal Reserve Note,$1 ,1969A,$1 Federal Reserve Note,Heritage Auctions $1 Federal Reserve Note,Search Heritage for best professional photo lot,TYPE_022_obverse.jpg,TYPE_022_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_023,Federal Reserve Note,$1 ,1969B,$1 Federal Reserve Note,Heritage Auctions $1 Federal Reserve Note,Search Heritage for best professional photo lot,TYPE_023_obverse.jpg,TYPE_023_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_024,Federal Reserve Note,$1 ,1969C,$1 Federal Reserve Star Note,Heritage Auctions $1 Federal Reserve Star Note,Search Heritage for best professional photo lot,TYPE_024_obverse.jpg,TYPE_024_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_025,Federal Reserve Note,$1 ,1969D,$1 Federal Reserve Note,Heritage Auctions $1 Federal Reserve Note,Search Heritage for best professional photo lot,TYPE_025_obverse.jpg,TYPE_025_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_026,Federal Reserve Note,$1 ,1974,$1 Federal Reserve Note,Heritage Auctions $1 Federal Reserve Note,Search Heritage for best professional photo lot,TYPE_026_obverse.jpg,TYPE_026_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_027,Federal Reserve Note,$1 ,1977,$1 Federal Reserve Note,Heritage Auctions $1 Federal Reserve Note,Search Heritage for best professional photo lot,TYPE_027_obverse.jpg,TYPE_027_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_028,Federal Reserve Note,$1 ,1988A,$1 federal reserve  note,Heritage Auctions $1 federal reserve  note,Search Heritage for best professional photo lot,TYPE_028_obverse.jpg,TYPE_028_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_029,Federal Reserve Note,$1 ,1993,$1 federal reserve note,Heritage Auctions $1 federal reserve note,Search Heritage for best professional photo lot,TYPE_029_obverse.jpg,TYPE_029_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_030,Federal Reserve Note,$1 ,1995,$1 Federal Reserve Star Note,Heritage Auctions $1 Federal Reserve Star Note,Search Heritage for best professional photo lot,TYPE_030_obverse.jpg,TYPE_030_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_031,Federal Reserve Note,$1 ,1999,$1 Federal Reserve Star Note,Heritage Auctions $1 Federal Reserve Star Note,Search Heritage for best professional photo lot,TYPE_031_obverse.jpg,TYPE_031_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_032,Federal Reserve Note,$1 ,2001,$1 Federal Reserve Star Note,Heritage Auctions $1 Federal Reserve Star Note,Search Heritage for best professional photo lot,TYPE_032_obverse.jpg,TYPE_032_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_033,Federal Reserve Note,$1 ,2003,$1 federal reserve star note,Heritage Auctions $1 federal reserve star note,Search Heritage for best professional photo lot,TYPE_033_obverse.jpg,TYPE_033_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
TYPE_034,Federal Reserve Note,$1 ,2003A,$1 Federal Reserve Star Note,Heritage Auctions $1 Federal Reserve Star Note,Search Heritage for best professional photo lot,TYPE_034_obverse.jpg,TYPE_034_reverse.jpg,Heritage Auctions (professional studio photography) — to be downloaded by user,Ready for user download from Heritage
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
